Cancer Type,Gender,Survival (%)
Colon,Male,95.1
Colon,Male,93.8
Colon,Male,93.8
Colon,Male,93.2
Colon,Male,93.8
Colon,Male,91.5
Colon,Male,92.6
Colon,Male,90.8
Colon,Male,91.4
Colon,Male,88.8
Colon,Male,88.9
Colon,Male,87
Colon,Male,91.9
Colon,Male,93.3
Colon,Male,94
Colon,Male,90.2
Colon,Male,84.4
Colon,Male,85.4
Colon,Male,87
Colon,Male,81.7
Colon,Male,79.3
Colon,Male,79.9
Colon,Male,81.6
Colon,Male,75.3
Colon,Male,76
Colon,Male,74.1
Colon,Male,77.4
Colon,Male,69.3
Colon,Male,74.4
Colon,Male,69.1
Colon,Male,74.9
Colon,Male,67.4
Colon,Male,56.3
Colon,Male,54.6
Colon,Male,54.8
Colon,Male,44.2
Colon,Male,35.1
Colon,Male,34.8
Colon,Male,32.9
Colon,Male,26.6
Colon,Male,25.4
Colon,Male,22.1
Colon,Male,22.1
Colon,Male,16.9
Colon,Male,20.7
Colon,Male,17.6
Colon,Male,16.8
Colon,Male,12.7
Colon,Male,18.2
Colon,Male,13.8
Colon,Male,14.1
Colon,Male,10.6
Colorectal,Female,99.4
Colorectal,Female,99.6
Colorectal,Female,99.6
Colorectal,Female,98.6
Colorectal,Female,99.3
Colorectal,Female,99.1
Colorectal,Female,99
Colorectal,Female,97.3
Colorectal,Female,98.6
Colorectal,Female,98.5
Colorectal,Female,98
Colorectal,Female,96.5
Colorectal,Female,97.9
Colorectal,Female,97.9
Colorectal,Female,97.8
Colorectal,Female,95.4
Colorectal,Female,96.2
Colorectal,Female,93.9
Colorectal,Female,98.7
Colorectal,Female,97.7
Colorectal,Female,97.6
Colorectal,Female,95
Colorectal,Female,97.2
Colorectal,Female,96
Colorectal,Female,95.6
Colorectal,Female,92
Colorectal,Female,95.3
Colorectal,Female,93.6
Colorectal,Female,93.7
Colorectal,Female,89.7
Colorectal,Female,93.7
Colorectal,Female,91.8
Colorectal,Female,91.3
Colorectal,Female,88
Colorectal,Female,91.6
Colorectal,Female,90.7
Colorectal,Female,90.2
Colorectal,Female,86.5
Colorectal,Female,96.2
Colorectal,Female,96.1
Colorectal,Female,94.9
Colorectal,Female,90.9
Colorectal,Female,90.7
Colorectal,Female,89.3
Colorectal,Female,88.5
Colorectal,Female,83
Colorectal,Female,84.7
Colorectal,Female,84.4
Colorectal,Female,83.4
Colorectal,Female,77.2
Colorectal,Female,80.1
Colorectal,Female,80
Colorectal,Female,79
Colorectal,Female,72.7
Colorectal,Female,76.6
Colorectal,Female,77.7
Colorectal,Female,76.4
Colorectal,Female,70.3
Colorectal,Female,61.9
Colorectal,Female,60.4
Colorectal,Female,55.9
Colorectal,Female,43.4
Colorectal,Female,37.2
Colorectal,Female,39.2
Colorectal,Female,33.9
Colorectal,Female,25.5
Colorectal,Female,26.6
Colorectal,Female,28.8
Colorectal,Female,22.7
Colorectal,Female,16.5
Colorectal,Female,20.1
Colorectal,Female,22.7
Colorectal,Female,17.5
Colorectal,Female,13.5
Colorectal,Female,18.1
Colorectal,Female,18.4
Colorectal,Female,14.2
Colorectal,Female,11.1
Colorectal,Male,99.8
Colorectal,Male,98.9
